Rovi,Vudu,Px_id1,Px_id2
1089694,510,232133,13971474
18416841,519,211851,13995943
429075,580,95854,14097400
424421,607,93640,1335821
435482,641,97710,207963
1056185,679,204557,13971477
3198,1778,1051,13971479
1091801,2159,233860,13995941
1086792,2258,229741,14077053
1067670,2279,213758,13971481
178324,2621,53366,93207
31641,3738,9540,13971486
13057376,3921,1000518,13971488
1775651,3960,494532,13971489
240203,4006,65281,13995937
242785,4011,65676,13995936
162373,4026,50447,13971493
1643286,4037,449648,13971494
253035,4057,67816,13971497
1755069,4060,486908,13971496
1659043,4063,454642,13971500
542707832,4064,1709139,13971499
255836,4066,68436,13995934
1730287,4075,479466,13971502
1788292,4085,498800,13971504
1816567,4096,508783,13971506
256990,4103,68614,13971509
17594076,4123,1186508,13971510
293633,4176,75721,13995931
297936,4187,76282,13971512
1059426,4226,207091,13995929
1102307,4233,239998,13995926
1485651,4238,395448,13995927
1065291,4250,211882,13995922
1296947,4257,325905,13995923
1590087,4298,431382,13971514
433532,4304,97010,13995918
120300,4371,40357,13995917
1641433,4404,449136,13971517
1541304,4406,413930,13971515
46966,4448,16505,13971516
252115,4478,67624,13995914
2003690,4496,576684,13971521
1957153,4509,559790,13971524
443341,4764,99414,4029673
434763,4927,97192,4039768
1110401,5023,243283,14080149
1213325,5042,290812,291504
1296605,5176,325781,13995901
1449830,5202,383467,13971554
989232180,5298,228411,14097401
989232180,5298,228424,14097401
989232180,5298,228411,228424
1093960,5550,235680,235666
1686559,5604,463920,3920101
1725801,5645,477895,13971576
2000182,5706,575278,13971581
1495931,5710,398970,13971580
1054341921,5732,1171421,1171446
457375,5746,104978,13971582
12197605,5870,967929,242294
2091614,5945,608843,13971595
1335093,6367,339985,13971605
1552141,6541,417792,13971610
1567568,6609,423502,13971619
238375,6756,64993,494843
260662,6787,69409,473562
1903557,6802,538674,13971628
1996390,6885,573923,13971631
1241336,7076,302766,962450
449069,7123,100976,96162
12973414,7163,1087599,283694
90942,7196,30116,245689
301299,7585,76712,555559
116624,7596,38935,422673
2059478,7631,596801,570535
1022080320,7633,617127,734488
453364,7958,103287,13971739
1649158,8050,451537,398971
456869,8092,104773,13971757
1178211,8115,274455,14077055
19776025,8181,1347695,424214
1567623,8207,423519,13971761
1354865,8226,347435,204602
2443236,8268,745924,442091
12199798,8279,968530,109583
1072853,8293,217979,13971764
1064970,8306,211617,14076702
429585,8316,96045,13971765
1646267,8344,450606,13971766
429616,8354,96068,13971767
1665042,8373,456495,13995860
1069329,8376,215103,13971768
447997,8519,100399,13995855
336370,8541,80906,500500
1807428,8607,505656,13971775
462888,8627,107750,13971776
1006928653,8633,528495,13995854
375791,8878,85888,13971777
465977,9007,109501,14097403
447027,9047,100186,3645233
176966,9079,52764,226982
444098,9095,99527,3958308
430977,9121,96635,13971778
450696,9149,101862,93642
19917692,9176,1354289,1354299
19917885,9254,1020313,4083733
225524,9274,62749,109871
1071167,9405,216636,220967
1082494,9411,226059,226040
466048,9564,109541,13995850
1383937,9588,359659,3911880
1077853,9754,222103,95572
178840,10070,53535,96466
1652391,10111,452460,13995848
460612,10131,106524,101662
435266,10157,97528,13971781
1079718,10173,223589,13995847
1718558,10270,475480,14077058
1755878,10304,487204,13995846
448153,10536,100491,13971806
1072273,10598,217535,13995834
1908777,10612,540727,13971815
6337605658,10617,3695650,14097404
428544,10656,95689,13971817
456303,10739,104567,13971818
460509,10890,106478,13971823
2098625,10974,611549,13971836
462701,11015,107626,13971835
1273110218,12099,2150344,13971838
111208,12467,36294,93123
20723724,12654,1206406,1206418
1062199,12737,209326,13971850
1058490,12742,206357,13971849
1089041,12764,231608,13995829
424303,12783,93608,100144
449755,12887,101337,3947047
219234,12954,61623,233893
1067402,12960,213569,13971851
1064361,13019,211120,13971852
458090,13135,105255,14077057
1066679,13138,212977,13995827
1075739,13140,220282,107651
80339,13235,26964,105721
12017316,13242,916999,234102
1090868,13275,233112,13971853
1054194,13362,202958,13995826
1128335,13449,250562,101597
183821,13483,54756,114400
1385809,13494,360328,105261
1061060,13575,208410,13971877
1092187,13607,234188,13995815
1067613,13626,213711,13971886
1072235,13641,217530,14076703
446836,13768,100101,13971891
424294,13777,93603,13995806
443218,13835,99395,13971894
1063402,13995,210304,207836
1062030,14061,209186,13995804
1075802,14190,220337,13995803
1083036,14225,226514,13971895
1112845,14273,244453,13971896
18792119,14375,1263595,212253
16897291,14385,1172019,1172083
1087908,14400,230643,223013
1091542,14622,233683,13971900
1058477,14632,206349,13995797
6489041635,14643,3736794,322811
1057484,14667,205573,14078858
1080396,14788,224182,3879299
1087744,14952,230512,13995735
1754634,14954,486766,14076315
1062101,15039,209249,3920159
1003017547,15087,246824,13971907
1128292,15262,250541,13971909
1487955689,15283,2335593,267319
4324,15365,1401,13995714
1082616,15437,226141,13971910
1203032,15444,285649,13995696
1078843,16021,222895,13995618
1197158,16033,282705,13971915
1075886,16039,220404,439801
12027650,16040,920068,103059
1078273,16262,222406,13971919
1192656,16266,280676,13971921
2352312,16304,707065,13995557
1063044,16329,210022,13971928
1274283,16464,317146,13995504
463645,16527,108161,14079078
1253455,16533,308643,13995495
1262581,16534,312732,13971965
69323,16549,23399,14076704
1060875,16862,208256,13972030
1298852,16915,303927,13995493
311380,16982,77786,329540
1054292,17007,203033,13995491
99114,17032,32401,13972043
312863034,17075,1570611,303341
1943176,19648,554766,13972051
1080243,19702,224051,13995490
1269848,20446,315572,3935561
180969,20544,54217,13972058
1060622,20553,208088,13972059
1020894086,20634,342197,3145037
1300949,20759,327714,13995489
1069932,20890,215602,13972061
1075885,20981,220421,13972062
1092891,20991,234779,13972063
137631,21006,46672,322897
1255066,21129,309357,405818
1307362,21205,329475,3822457
15060,21244,4565,3024965
456741,21402,104696,3836342
1307537,21496,329567,13995486
1983518,21553,569282,13972065
1242108,21743,303141,13995484
11480,21757,3483,13972067
1296673,21762,325803,13995483
1056754,21774,205000,13972066
7097913942,21789,3913517,14097405
1066224,21897,212621,14077722
1480432,21907,393741,332786
1318419,21908,333776,13995482
436818,21923,98627,3245677
1066154,21991,212574,13995481
1323056,22205,335628,13972068
1300020,22474,326896,335771
1342970,22527,343117,13995480
284458,22740,74067,338053
1335003,22864,339958,14077060
1344546960,22917,2220799,220439
327230047,22938,1595895,13972090
1362743,23756,350705,13995476
1063632,23994,210516,13995474
1658579,24026,454479,13995473
1088424,24058,231074,13995472
1371113,24334,354551,13972182
1303607,24536,328064,923851
1085822,24704,228919,14076487
1384788,24762,359971,13995426
1091621,25005,233750,13995425
1393804,25017,363298,13995424
1393834,25304,363307,3175327
1084249,25317,227596,93678
1393798,25324,363290,13995422
370868,25345,85065,319667
1055656,25539,204133,13995421
1431020,25677,376835,13995420
1412620,25969,370479,13995419
1080218,26020,224014,14076440
1420992,26282,373873,13972433
213465,26951,60320,2438159
1482914,27619,394365,13995188
1766959,27798,491501,380609
1393662,28120,312327,13972508
1729871,28436,479342,13995078
1063068,28640,210045,14077062
982759940,28943,1207222,1207243
1053905,29500,202724,13972517
1081640,29507,225284,13995077
53270,30189,18401,92889
1503360,30565,401389,13972522
1513830,30646,404642,13972520
1087163,30695,230062,94609
1075430,30726,220049,13995009
73411,31034,24760,1191447
1065119,31300,211734,14078710
1080734,31907,224468,113956
1518211,32246,406092,13994749
1536026,32350,412121,13972538
1084910,32381,228145,13972539
1536814,32834,412372,13972556
1539934,32993,413457,13994721
1069781,33314,215466,13972557
1095749,33416,237118,13972558
1091239,34034,233403,13994483
1065020,34134,211651,14076706
236080,34232,64387,13994446
1077229,34400,221582,13994439
1147203,34523,246968,13994434
12645468,34536,1035496,13972577
177151,34656,52835,93707
1060499,35205,207958,13972578
1585149,35719,429045,14069597
1571816,35828,424739,14069600
1071163,35844,216638,14069599
1079463,36050,223397,14078879
1064606,36215,211313,14069611
1057421,36220,205526,14069620
1774456,36249,494195,14077895
212430,36266,60118,14069676
1597259,36276,433152,14069677
1082984,36612,226477,14076705
1570224,36741,424283,14069872
1619696,36743,441429,14069884
1570250,37070,424299,3924893
1086241,37074,229254,14070070
1578671,37354,427013,14070116
1562722,37624,421811,14070267
465443,37709,109155,14077724
1064825,37747,211492,14070278
1073087,37754,218177,14070305
1619634,37852,441415,14070417
114756,38275,38090,14070436
1072410,38384,217631,14080056
7736927847,39054,4086844,96226
451765,39447,102525,14070554
1610768,39676,438014,14070558
1653470,39682,452805,14070559
1063013,39960,210003,14070561
1069145,40181,214966,14078880
472784,40191,113181,14070563
1083145,40437,226609,14076528
1608489,40538,437206,14070567
1073332,41489,218366,14076529
1646343,41508,450621,14077588
1662510,41623,455737,3820074
456650,41870,104659,14074319
1156997979,41987,2059006,14070582
1529735,43220,410097,14070593
1674507,43355,459848,14070594
247961,43438,66661,13537410
1684337,43577,463200,14070597
2141726,43578,628316,14070599
1740554,43978,482323,14070604
239185,44167,65113,420758
1715146,44373,474228,14070611
1065283,44566,211873,14076025
1691175,44909,465691,14070624
1698052,45080,467761,14079080
13241,46349,4023,14077063
1058733,46352,206553,14077064
1760577,46732,488931,14070666
236767,46810,64582,14070671
1767615,48432,491688,3835560
268610,48914,71094,14070693
17633556,49322,656936,14070699
1776716,49343,494867,14070702
455935,49428,104474,110587
7702060728,50508,4078296,14070718
1060566,50511,208020,14076707
451675,50533,102480,14070719
1811980,50554,507069,14070723
2140063,50843,627683,1170866
1208385,50854,288442,14070729
52748,51514,18252,14070731
32818,51563,9888,14070734
1824069,51603,511405,14070733
289852,51939,75066,14077896
7230,51955,2306,204508
1066438,51956,212786,14077065
1835502,51958,515221,14070738
8070182,52273,758229,14077697
1839441,53090,516566,14070748
961678466,53603,1942019,73007
246805,54028,66187,859065
12334275,55115,981237,14070771
1855628,55360,521884,14070776
1951026,56259,557645,14070790
1996596,56304,574019,14070792
276664,56366,72622,1170833
1977860,56562,567359,14070804
1927531,56826,548472,14070806
1911293,56847,541734,14070809
1823289,57211,511128,14070812
302730,57226,76858,542275
1965584,58061,562975,14070819
270235,58080,71403,14070821
323758,58263,79241,553072
353117,58586,82845,652639
1081247,59829,224910,14070858
12081036,60008,935412,553695
272610,60495,71994,14070867
105501,61027,34297,14070872
11985955,61084,511477,14070875
2128518,61118,623387,646938
1081656,61132,225281,14070878
1952992,61289,558294,2258022
1937320,61321,552505,14070883
2049973,61361,593338,14070885
1933190,61485,550783,14070889
1956858,61569,559668,973753
1968610,61796,563991,14070895
107678,62044,35029,223446
1998883,62833,574804,14070907
260953,63034,69472,14070912
276396,63155,72589,14070913
437195,63516,98756,14070926
1071391,63899,31924,14070933
17962272,65032,1182516,14070953
2041515,65531,590159,3880323
1057190,65776,205351,14070957
1976058,66214,566648,14077902
376480,66383,86021,610791
297967,66399,76290,611680
2130595,67182,624282,874910
323300,67240,79179,14070972
2121886,67676,620881,14070977
1380051383,67905,2250465,203533
1087124,67920,230023,14077068
2115186,68107,618411,14077067
4816465812,68220,3226976,625513
2122184,68375,620992,13533514
270304,68394,71429,595752
2397881,68828,725799,14071001
2277041,68897,676658,14071002
2133560,69113,625260,14071005
22040305,69409,1424979,14071008
2100027,69581,612141,14071012
2099963,69806,612125,3928806
2301235,69863,685624,684661
245800,69865,65960,14071013
326294957,70305,1593121,14071019
21546018,70366,1378661,14071021
1071235,70368,216698,14071023
1066712,70496,213003,213173
435232,70906,97498,14071028
440198,72275,99174,14071037
1056080,72378,204456,14071038
1056853,73979,205091,14077070
461486,75104,107058,14071049
438126,75640,99044,14077725
1063293,75935,210228,14077071
19232494,76338,221219,14071053
469011,76363,111326,14076708
1061591,77485,77976,209071
463647,77727,108164,14071060
1078990,78000,223018,14079013
458670,78383,105570,14071062
1094644,78618,236207,184123
30020,79210,8971,14076712
1061948,79757,209146,14077072
451328,80248,102270,14071065
469110,80556,111395,14078593
6208423722,80563,3661799,12702
1063398,81656,210317,14071072
1059332,81841,207010,14071073
1053547,82368,202435,14077726
1079681,82473,223565,14076030
43662,82923,15562,14076029
1059944,83422,207506,14071082
460737,83513,106593,14071084
1060230,83794,207751,14071085
431091,84044,96702,2560722
1079186,85116,223163,14075999
470732,85372,112206,14076710
15962,85711,4835,14071095
1147221,85776,259795,14071096
1060921,85867,208299,14071099
1098462,86080,238329,14077589
1066173,86117,212580,14076033
459255,86161,105786,14071102
445733,86283,99684,14071106
1727113,87010,478422,14078920
1062846,87605,209881,14076714
12921229,87765,1079431,14071118
12025438,88179,919409,1338127
1062088,88548,209228,14071119
454558,89085,103795,14077074
1083922,89370,227321,14071123
467352,90057,110225,14071130
1070312,90228,215920,14076711
677381178,90404,1774801,14071131
72074,90952,24293,14071137
426590,91397,94839,99411
76177,92014,25669,14071141
22316144,92777,1438315,14071148
466959,92792,110034,14071149
1990605341,92995,2561094,97350
457312,93033,104938,14071151
969128959,93201,1946630,26929
429885,93569,96166,14071156
430941,93593,96611,14076713
6848979641,93690,3840580,145253
435666,93939,97858,14071158
83014,93999,27827,14071159
464533,94567,108620,14071163
1067616,94596,213717,14076032
88035,95341,29316,14077075
1070717,95503,216251,14076031
459262,96926,105784,14071177
1072230,97183,217496,14071178
1760458543,97826,2439218,14078862
1083433,98019,108844,14071181
435062,98236,97398,14071183
1073841,99001,218760,14071186
436638,99198,98486,14071188
1071518,99621,216939,14071191
459133,100304,105732,14071192
1074421,100401,219226,14071194
1001718,101242,160077,13877182
448802,101250,100867,14071197
1073177,101370,218238,14071199
1061016,101998,208378,14071201
333622538,103371,1606831,14071205
435909,104589,98059,14071204
1074878,107678,219593,14076715
1063532,109702,210424,14077076
1056141,112545,204517,14071218
451180,113693,102155,14071226
1059135,114585,206872,14071231
1056005,115242,204405,14071232
453233,115560,103210,14071234
1059855,116119,207452,14071236
17637561,117576,1191856,14071242
434820,119013,97225,14077078
6811150492,119227,1549792,14077079
430033,119455,96277,14071247
45888,122261,16186,14071253
1067993,122745,214022,14071254
1065659,122830,212176,14071255
1068237,122874,214223,14077080
1065687,122949,212197,14071256
1060879,123701,208261,14077777
439837,124953,99136,14071260
1061355,125345,208683,14071263
429661,126194,96094,14071265
458933,126871,105678,14077082
2160981,128119,634478,14071269
2100274,128176,612277,14071273
298582,128272,76399,872985
2036382,128309,588051,644062
2173651,128791,638556,14071286
2201403,128798,647712,14071289
2201392,128804,647710,14071291
2447445,128848,747849,639810
2214673,128871,652676,14071293
367148,128882,84447,645581
403683,128979,89429,80344
333302,129013,80420,2857312
2173591,129017,638504,14071297
12722383,129050,1047967,14071301
2262163,129052,670421,14071302
2262181,129053,670412,14071300
17697304,129056,685333,14071303
2262817,129058,670716,14071304
20679768,129065,699785,1155309
11755526,129109,829551,606916
982759973,129111,1207720,1207740
19791947,129112,490626,3879524
2277432,129216,676797,14071310
1406098609,130245,2272137,656289
716564239,130415,1796506,682203
2339450,130425,701594,14071320
2224928,130444,656285,14071327
17338189,130787,1182743,692368
1297791,130830,326162,4031424
1156433139,130907,2058575,651392
2318101,130919,692386,14071342
951068410,131006,1933353,706733
2318011,131009,692347,14071341
16882826,132100,698472,3920997
3211,132137,1055,14071356
8391564,132150,780250,14071353
2262567,132320,670619,14071355
2299965,132325,685203,3995063
2299967,132327,685204,14071351
2340809,132896,702096,14071348
112497,134097,37007,14071365
285082,134098,74202,14071361
19083795,134099,1314089,14071362
2291490,134303,682010,14071367
14452163,134404,768321,14071370
2055132,136269,595290,648464
2324933,136281,695206,923374
2352031,136288,706874,14071376
9863532,138349,805060,14071379
12491062,138351,1009621,14071377
13020738,138355,1095016,14071381
435375,138493,97619,14076717
16651333,138603,1165039,716828
1526609,138609,408980,14071382
156852,138610,49718,14071383
370785,139822,85061,14071388
435025,140083,97369,1188513
2343319,140138,703231,14071403
13008519,140235,1093125,14071404
163138,140421,50665,106123
162033,140499,50295,105977
1641417,140522,449129,14071444
17633179,140678,1191354,211998
157913,140700,49826,226950
1058026,140720,206027,3265600
303418,140829,76938,465692
1058967,140877,206733,14071498
53274,140913,18433,14071504
2009722,140972,578685,14071512
1750883,140975,485602,499462
1073016,141008,218130,14071514
443890034,141105,1670461,668960
6795806186,141253,3823452,571129
2352078,141350,706912,14076343
20487848,141368,717770,3711703
754086841,141479,1815140,724402
1078091,141522,222272,225859
66095700,141529,1469589,682674
2390474,141589,722555,14071546
2390528,141604,722573,14071549
8745061,141853,786530,735908
2192122,141964,644601,14071561
1089695,142016,232136,14071572
994723182,142043,747507,14071586
2352047,142045,706905,14071585
362246,142101,83663,14071584
2396637,142104,725090,14071590
2352111,142107,706943,14071592
2397009,142152,725314,14071594
12010443,142388,914933,14071598
10133203,142658,810441,14071618
9707575,142812,802736,706921
2478794,142827,759980,14071619
340709,142992,81607,725273
2353886,142993,707654,14071622
11751301,143200,827512,703524
397108,143250,88265,742341
398893,143278,88557,725335
2397125,143307,725410,14071629
2416162,143317,733969,14071632
2445716,143344,747091,14071635
17889347,143596,1206410,14071634
408964,143852,90810,14071650
2352167,144696,706957,14071654
8840119,145262,788230,725342
2352212,145531,707011,14071670
2397042,160804,725372,14071685
333354338,160806,1606050,981222
408693,160836,90737,768282
2394825,162053,724453,14071711
18903756,162340,760551,14071716
2397110,162344,725399,14071715
11737731,162357,821290,777866
17889202,162722,1206334,14071724
19917458,167624,1354204,14071731
2475038,167667,758610,14071732
19190482,168171,1324430,88465
404425,168531,89626,72838
6825771909,168833,3831764,67789
2487881,169561,763440,14071775
2397090,169685,725396,14071773
2479799,169687,760377,14071774
19990181,171940,1362591,1080079
21902817,171945,1408234,788664
2396951,172148,725263,3839522
7903736,172934,772710,14071782
12096061,172938,939634,14071785
10174057,172940,91446,14071783
306027,173013,77213,2845598
9707072,173023,802599,14071790
20344042,173028,1368966,14071789
9526767,173107,799496,14071792
13893565,173118,1132694,797009
1093198328,173409,2002643,812617
17889149,174389,1170938,14071806
2499954,175316,768549,14071812
14555854,175712,1147484,2212755
19972862,175716,1360665,14071821
8102511,175798,775553,14071827
2499178,175971,768274,14071825
6782348,175994,771265,14071826
13399228,176103,1122857,14071828
1958350733,176108,2545866,14071829
2450597,176141,749104,14071830
989236478,176177,1436152,14071833
6782480,176523,771306,14071836
11771956,176578,836770,14071837
18905903,177071,1231697,14071841
8839890,177148,788224,2520575
2397003,177177,725305,14071843
18559711,177220,1254624,14071844
407128,177224,90315,14071845
2491689,177354,765240,14071846
2434532,177366,742228,14071847
2204686,177375,649043,14071850
2352058,177388,706881,14071849
335632,177397,80709,14071852
1089949508,177512,2016763,14071855
382585,178241,87018,14071857
14699247,178252,1150475,14071858
2499183,178294,768277,14071860
8417440,178304,780814,14071862
131509,178311,45494,14071861
418309,178709,92237,3918476
442728469,178821,1669717,810644
1737809,178835,481531,3907068
421490,178854,92628,14071869
16643377,178932,1164892,13913439
4551219211,178986,3132307,14071871
8548668,179051,783346,14071874
14990344,179084,1156773,14071876
17889334,180177,1206407,14071916
449479,180301,101163,14071963
471906,180369,112758,14071964
17637700,180503,1191866,14072008
10799298,180516,820221,14072053
13557675,180577,1125283,14072105
2352135,180580,706956,14072092
2423521,180586,737329,14072124
2397894,180589,725819,14072123
2285895,180592,679957,14072129
1695370,181012,466967,14072183
443892227,181058,1670456,2567
17403703,181164,1183939,1369291
330365300,181169,1601051,1123885
5388178462,181746,3410746,1191118
18973385,181818,1295408,14072192
2431089,181843,740629,2811257
14745219,182006,1151491,14072195
6782343,182011,771258,14072198
9212737,182077,793956,14072197
5444308454,182230,3428609,663502
8548731,182241,783777,14072205
19088908,184132,1314780,14072235
18099702,184262,1231996,13538098
2100285,184504,612305,14072251
753316076,185825,1814524,14076034
418020,185857,92175,4085314
13566922,185879,1125381,14072344
9715843,186683,803739,14072349
20381131,186863,1368994,1206134
17890562,187104,1206749,14072353
17889104,187129,1206274,14072354
386194957,187132,1657889,803733
341871,187264,81740,14072355
21934172,187576,1411964,1130638
18047159,189416,1225289,14072382
18886479,189424,1281225,14072387
16851970,190794,1170102,14072398
396611,191668,88098,14072407
17614945,191793,1188959,14072408
422999,191868,93069,14072410
1772767677,192040,2444216,1300629
13407068,192044,1122863,14072416
66864909,192532,1498113,1235882
8354669,192581,779378,14072423
13816949,193942,1130646,14072428
8841405,194237,788400,14072438
12299975,194241,974572,14072441
16950249,194249,1173941,14072440
9343035,194285,796675,694221
13816949,195152,1130646,14072453
8548660,195244,783349,14072462
16851746,195922,1170069,14072460
14662804,195981,1149619,14072470
4865851266,196043,3238881,787208
1932080,196306,550390,14072493
19278655,196377,1336538,14072496
421493,196379,92642,14072504
66485853,196419,1482621,14072502
8659126,197158,784896,14072515
11742997,197202,823037,868505
2352256,197216,707053,14072519
2319288,197299,692860,14072525
18772982,197387,1259034,14072529
7509007239,197549,4025283,14076036
7846847720,197577,13531867,13587092
12149027,197649,954409,14072532
403677,197800,89423,14072542
8417481,197831,780802,14072541
17320933,197887,1182275,14072543
17195368,197970,1179807,4070965
17831325,198405,1199482,14072548
14240707,198431,1140155,14072550
15090225,198941,1158650,14072549
4107789443,199250,2884869,1243763
815238936,199873,1847334,14072553
982759678,200266,1333529,14072552
17834215,201365,1199515,14072558
18070624,201369,1227869,2626376
18887283,201373,1281341,14072557
13803696,201792,1130201,14072560
1454096027,203395,2308787,688125
386085,204015,87610,14072564
2470899,204229,756981,14072565
2352203,204463,706997,14079698
1370526797,204475,2243767,1186922
4996944736,204652,3289038,1324445
16673550,205201,1165675,14072577
8017037,205294,774086,14072578
9956956,205864,806843,14072579
19986828,206716,1343134,14072587
18145221,207170,1237794,14072589
18175979,207405,1241967,14072592
13567951,207517,1125417,14072590
13956098,207822,1134340,14072593
19768073,210059,1346975,14072644
558366334,210359,1718844,14072631
19895005,211487,1353407,14072642
16610061,211712,1163824,14072641
443884315,213306,1670281,14072704
982759685,214543,1340428,4024890
